sample_id,taxon_id
71,68
71,110
71,123
71,125
71,132
71,148
71,150
71,162
71,182
71,185
71,197
71,206
71,266
71,269
71,284
71,287
71,291
72,16
72,22
72,24
72,26
72,36
72,47
72,56
72,68
72,71
72,110
72,123
72,125
72,132
72,133
72,148
72,158
72,162
72,166
72,182
72,185
72,190
72,193
72,194
72,195
72,197
72,206
72,222
72,266
72,269
72,284
72,287
72,291
73,125
73,141
73,169
73,271
73,276
73,290
73,335
74,120
74,123
74,125
74,184
74,264
74,265
74,267
74,271
75,3
75,110
75,123
75,125
75,131
75,148
75,150
75,184
75,197
75,207
75,263
75,264
75,267
75,268
75,270
75,271
75,284
75,288
76,123
76,264
76,284
78,31
78,99
78,100
78,110
78,171
78,172
78,179
78,224
78,225
78,226
78,228
78,251
78,279
78,291
78,292
78,300
77,100
77,105
77,110
77,171
77,179
77,199
77,224
77,251
79,62
80,123
80,125
80,150
80,170
80,172
80,240
80,267
80,271
80,284
80,288
81,26
81,54
81,56
81,123
81,125
81,130
81,150
81,170
81,171
81,172
81,240
81,263
81,267
81,271
81,284
81,288
82,26
82,123
82,125
82,130
82,170
82,171
82,263
82,267
82,271
82,288
84,141
84,193
87,123
87,263
86,122
86,263
89,169
89,321
88,181
90,123
90,263
91,123
91,263
92,123
92,148
92,154
92,241
92,268
92,271
92,284
92,337
93,123
93,124
93,125
93,126
93,148
93,154
93,261
93,263
93,268
93,271
94,2
94,5
94,13
94,17
94,27
94,93
94,94
94,99
94,105
94,122
94,171
94,177
94,190
94,202
94,204
94,224
94,237
94,240
94,250
94,276
94,287
95,48
95,50
95,80
95,85
95,86
95,88
95,100
95,107
95,111
95,122
95,137
95,161
95,163
95,171
95,173
95,224
95,225
95,226
95,228
95,231
95,242
95,252
95,255
95,276
95,279
95,287
95,291
96,1
96,31
96,48
96,50
96,51
96,70
96,80
96,85
96,88
96,100
96,106
96,107
96,111
96,115
96,137
96,152
96,161
96,171
96,173
96,188
96,214
96,217
96,225
96,226
96,228
96,237
96,249
96,252
96,255
96,279
96,287
96,291
97,1
97,28
97,31
97,40
97,45
97,48
97,50
97,51
97,67
97,70
97,72
97,75
97,78
97,80
97,85
97,88
97,89
97,90
97,93
97,100
97,101
97,106
97,107
97,109
97,111
97,115
97,119
97,135
97,136
97,137
97,139
97,142
97,150
97,154
97,161
97,164
97,167
97,171
97,173
97,177
97,178
97,188
97,198
97,199
97,200
97,209
97,214
97,215
97,216
97,217
97,224
97,225
97,226
97,228
97,237
97,240
97,242
97,243
97,249
97,252
97,254
97,255
97,272
97,273
97,276
97,279
97,281
97,291
98,177
98,257
99,39
99,42
99,45
99,50
99,55
99,86
99,116
99,123
99,137
99,138
99,141
99,145
99,148
99,150
99,154
99,175
99,183
99,191
99,222
99,226
